"RESU_SIGM_NOEU_Vector:0","RESU_SIGM_NOEU_Vector:1","RESU_SIGM_NOEU_Vector:2","RESU_DEPL:0","RESU_DEPL:1","RESU_DEPL:2","RESU_EPSI_NOEU:0","RESU_EPSI_NOEU:1","RESU_EPSI_NOEU:2","RESU_EPSI_NOEU:3","RESU_EPSI_NOEU:4","RESU_EPSI_NOEU:5","RESU_EPSI_NOEU_Vector:0","RESU_EPSI_NOEU_Vector:1","RESU_EPSI_NOEU_Vector:2","RESU_SIEQ_NOEU:0","RESU_SIEQ_NOEU:1","RESU_SIEQ_NOEU:2","RESU_SIEQ_NOEU:3","RESU_SIEQ_NOEU:4","RESU_SIEQ_NOEU:5","RESU_SIEQ_NOEU:6","RESU_SIEQ_NOEU:7","RESU_SIEQ_NOEU:8","RESU_SIEQ_NOEU:9","RESU_SIEQ_NOEU:10","RESU_SIEQ_NOEU:11","RESU_SIEQ_NOEU:12","RESU_SIEQ_NOEU:13","RESU_SIEQ_NOEU:14","RESU_SIEQ_NOEU:15","RESU_SIEQ_NOEU:16","RESU_SIEQ_NOEU_Vector:0","RESU_SIEQ_NOEU_Vector:1","RESU_SIEQ_NOEU_Vector:2","RESU_SIGM_NOEU:0","RESU_SIGM_NOEU:1","RESU_SIGM_NOEU:2","RESU_SIGM_NOEU:3","RESU_SIGM_NOEU:4","RESU_SIGM_NOEU:5","MED_POINT_ID","MED_CELL_ID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.59863e+01,1.10295e+02,3.54130e+02,-1.60909e-03,-4.49304e-19,3.09827e-02,-5.87339e-04,-3.52401e-06,1.50593e-03,-8.32174e-06,-1.16656e-04,-9.29764e-06,-5.87339e-04,-3.52401e-06,1.50593e-03,2.99787e+02,3.35242e+02,1.73753e+01,1.10419e+02,3.52617e+02,2.99787e+02,1.00007e+00,1.57455e-02,5.89930e-02,-1.59122e-02,9.99109e-01,4.09845e-03,-5.89756e-02,-6.94875e-03,1.00086e+00,4.80412e+02,5.33129e-01,2.99787e+02,3.35242e+02,1.73753e+01,1.59863e+01,1.10295e+02,3.54130e+02,-1.34428e+00,-1.88444e+01,-1.50193e+00,0,6928,1,5.40000e+01,1.05000e+02,0.00000e+00,5.40000e+01
9.03948e+00,1.05959e+02,3.49602e+02,-2.27802e-03,-6.20358e-19,3.22902e-02,-6.07755e-04,-7.78046e-06,1.50049e-03,6.44371e-07,-8.45276e-05,-7.73414e-06,-6.07755e-04,-7.78046e-06,1.50049e-03,3.00888e+02,3.36958e+02,1.07833e+01,1.06075e+02,3.47741e+02,3.00888e+02,1.00090e+00,-7.47048e-04,4.21586e-02,7.38251e-04,9.99193e-01,4.48780e-03,-4.22837e-02,-6.08659e-03,1.00160e+00,4.64600e+02,5.13147e-01,3.00888e+02,3.36958e+02,1.07833e+01,9.03948e+00,1.05959e+02,3.49602e+02,1.04091e-01,-1.36545e+01,-1.24936e+00,0,6928,1,5.49000e+01,1.05000e+02,0.00000e+00,5.49000e+01
2.96391e+00,1.00236e+02,3.39736e+02,-2.98240e-03,-7.79465e-19,3.35701e-02,-6.14419e-04,-1.22562e-05,1.47036e-03,1.22128e-05,-6.24374e-05,-7.87997e-06,-6.14419e-04,-1.22562e-05,1.47036e-03,2.98795e+02,3.35109e+02,3.74452e+00,1.00339e+02,3.38853e+02,2.98795e+02,1.00016e+00,-2.03289e-02,3.04673e-02,2.03183e-02,9.99289e-01,5.93178e-03,-3.07070e-02,-6.09839e-03,1.00075e+00,4.42937e+02,4.92918e-01,2.98795e+02,3.35109e+02,3.74452e+00,2.96391e+00,1.00236e+02,3.39736e+02,1.97284e+00,-1.00860e+01,-1.27292e+00,0,6928,1,5.58000e+01,1.05000e+02,0.00000e+00,5.58000e+01
5.21217e-03,9.62356e+01,3.34480e+02,-3.75165e-03,-7.71943e-19,3.48516e-02,-6.15283e-04,-1.95717e-05,1.45528e-03,1.92241e-05,-5.70527e-05,-8.00497e-06,-6.15283e-04,-1.95717e-05,1.45528e-03,2.98796e+02,3.35148e+02,-3.71635e-01,9.63158e+01,3.34777e+02,2.98796e+02,9.99171e-01,-3.22250e-02,2.75668e-02,3.21189e-02,9.99571e-01,6.64097e-03,-2.78480e-02,-5.94781e-03,9.99583e-01,4.30721e+02,4.80330e-01,2.98796e+02,3.35148e+02,-3.71635e-01,5.21217e-03,9.62356e+01,3.34480e+02,3.10543e+00,-9.21621e+00,-1.29311e+00,0,6936,1,5.67000e+01,1.05000e+02,0.00000e+00,5.67000e+01
2.91472e-01,9.60325e+01,3.41521e+02,-4.62974e-03,-5.43229e-19,3.61876e-02,-6.23689e-04,-3.10063e-05,1.48869e-03,1.61649e-05,-6.33217e-05,-6.21551e-06,-6.23689e-04,-3.10063e-05,1.48869e-03,3.05350e+02,3.41852e+02,-4.84353e-02,9.60898e+01,3.41804e+02,3.05350e+02,9.99505e-01,-2.81929e-02,3.06904e-02,2.80587e-02,9.99978e-01,5.13659e-03,-3.09351e-02,-4.61055e-03,9.99686e-01,4.37845e+02,4.78163e-01,3.05350e+02,3.41852e+02,-4.84353e-02,2.91472e-01,9.60325e+01,3.41521e+02,2.61125e+00,-1.02289e+01,-1.00404e+00,0,6936,1,5.76000e+01,1.05000e+02,0.00000e+00,5.76000e+01
2.82663e-01,9.55183e+01,3.48141e+02,-5.58785e-03,-3.18145e-19,3.75536e-02,-6.32454e-04,-4.28996e-05,1.52096e-03,1.21984e-05,-6.84737e-05,-4.49257e-06,-6.32454e-04,-4.28996e-05,1.52096e-03,3.11853e+02,3.48479e+02,-4.65615e-02,9.55564e+01,3.48433e+02,3.11853e+02,9.99682e-01,-2.20469e-02,3.28510e-02,2.19130e-02,1.00021e+00,3.66695e-03,-3.30509e-02,-3.31888e-03,9.99714e-01,4.43942e+02,4.74950e-01,3.11853e+02,3.48479e+02,-4.65615e-02,2.82663e-01,9.55183e+01,3.48141e+02,1.97051e+00,-1.10611e+01,-7.25722e-01,0,6936,1,5.85000e+01,1.05000e+02,0.00000e+00,5.85000e+01
-2.12156e-02,9.46931e+01,3.54341e+02,-6.62601e-03,-9.66937e-20,3.89494e-02,-6.41578e-04,-5.52514e-05,1.55209e-03,7.32473e-06,-7.25090e-05,-2.83613e-06,-6.41578e-04,-5.52514e-05,1.55209e-03,3.18304e+02,3.55029e+02,-3.66016e-01,9.47155e+01,3.54663e+02,3.18304e+02,9.99702e-01,-1.37870e-02,3.40487e-02,1.36818e-02,1.00026e+00,2.23204e-03,-3.41953e-02,-2.07281e-03,9.99666e-01,4.49013e+02,4.70692e-01,3.18304e+02,3.55029e+02,-3.66016e-01,-2.12156e-02,9.46931e+01,3.54341e+02,1.18323e+00,-1.17130e+01,-4.58144e-01,0,6936,1,5.94000e+01,1.05000e+02,0.00000e+00,5.94000e+01
-6.20161e-01,9.35569e+01,3.60120e+02,-7.74419e-03,1.21125e-19,4.03752e-02,-6.51062e-04,-6.80617e-05,1.58209e-03,1.54386e-06,-7.54273e-05,-1.24621e-06,-6.51062e-04,-6.80617e-05,1.58209e-03,3.24703e+02,3.61503e+02,-1.00680e+00,9.35671e+01,3.60496e+02,3.24703e+02,9.99565e-01,-3.41323e-03,3.42833e-02,3.36501e-03,1.00013e+00,8.31873e-04,-3.43683e-02,-8.72338e-04,9.99544e-01,4.53056e+02,4.65389e-01,3.24703e+02,3.61503e+02,-1.00680e+00,-6.20161e-01,9.35569e+01,3.60120e+02,2.49392e-01,-1.21844e+01,-2.01311e-01,0,6936,1,6.03000e+01,1.05000e+02,0.00000e+00,6.03000e+01
-1.05446e+00,9.15018e+01,3.62616e+02,-8.93268e-03,2.59299e-19,4.18240e-02,-6.53761e-04,-8.07941e-05,1.59753e-03,-2.96794e-06,-7.55333e-05,-4.25528e-07,-6.53761e-04,-8.07941e-05,1.59753e-03,3.28049e+02,3.64503e+02,-1.47215e+00,9.15053e+01,3.63030e+02,3.28049e+02,9.99396e-01,4.97056e-03,3.34109e-02,-4.96525e-03,9.99947e-01,1.76782e-05,-3.34448e-02,-1.95828e-04,9.99431e-01,4.53064e+02,4.60334e-01,3.28049e+02,3.64503e+02,-1.47215e+00,-1.05446e+00,9.15018e+01,3.62616e+02,-4.79436e-01,-1.22015e+01,-6.87391e-02,0,6929,1,6.12000e+01,1.05000e+02,0.00000e+00,6.12000e+01
-5.89697e-01,8.79798e+01,3.58549e+02,-1.01509e-02,2.14909e-19,4.32582e-02,-6.40706e-04,-9.24186e-05,1.58253e-03,-2.64867e-06,-7.11217e-05,-1.11556e-06,-6.40706e-04,-9.24186e-05,1.58253e-03,3.24675e+02,3.59881e+02,-9.62239e-01,8.79824e+01,3.58919e+02,3.24675e+02,9.99460e-01,4.41116e-03,3.17632e-02,-4.41512e-03,9.99959e-01,4.26499e-04,-3.17864e-02,-5.74790e-04,9.99487e-01,4.45939e+02,4.57748e-01,3.24675e+02,3.59881e+02,-9.62239e-01,-5.89697e-01,8.79798e+01,3.58549e+02,-4.27862e-01,-1.14889e+01,-1.80206e-01,0,6929,1,6.21000e+01,1.05000e+02,0.00000e+00,6.21000e+01
